Txhash,Blockno,UnixTimestamp,DateTime (UTC),from,From_PrivateTag,to,To_PrivateTag,Quantity,Method
0x3fd22883a0c13a290ec00c1ac919335738e6f11259fe3f3f6d9002b34b822c47,18936967,1704407807,2024/1/4 22:36,0x8fd587b5ea5abd65ad3439d9e58c63222866baa9,-,0x13307b8854a95946b54a904100afd0767a7a577b,-,164.1125125,-
0xd4c8de797705f71718c731e45746c5194e5d435515c23b86ff3f133ebee8237b,18939263,1704435671,2024/1/5 06:21,0x58781bec079b6485d1be088422d7f9f35f8778cd,-,0x0d0707963952f2fba59dd06f2b425ace40b492fe,-,"1,213.15",Transfer
0xdf1b275a779c898347734cee9ceee1dca27172ffc3310d374d5eaa19ff4bc342,18941275,1704460163,2024/1/5 13:09,0x8fd587b5ea5abd65ad3439d9e58c63222866baa9,-,0xa7ca2c8673bcfa5a26d8ceec2887f2cc2b0db22a,-,28.26255527,Call
0xdf1b275a779c898347734cee9ceee1dca27172ffc3310d374d5eaa19ff4bc342,18941275,1704460163,2024/1/5 13:09,0xa7ca2c8673bcfa5a26d8ceec2887f2cc2b0db22a,-,0xeb4af8a64070ef0dea6260e0bf2310748f014d88,-,0.197837887,Call
0xdf1b275a779c898347734cee9ceee1dca27172ffc3310d374d5eaa19ff4bc342,18941275,1704460163,2024/1/5 13:09,0xa7ca2c8673bcfa5a26d8ceec2887f2cc2b0db22a,-,0x05610182127c7d584805bde2891fb5a9e7a98523,-,28.06471738,Call
0x75c6afaada751b3ba0988ed6831fc5aafde879533dac5079a29bdbc83f4136ca,18941683,1704465131,2024/1/5 14:32,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,-,0x760e2a53bcc0c57011adcb826daf0e2669025cb6,-,88.30296287,-
0x03fbc89777d84e3f5495aa095b9bccda0663af1a74e80465a533c33a5c2f4d82,18941978,1704468731,2024/1/5 15:32,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,-,0x117d3f6a5448c6dbd265c1fd7915a2b290aafb95,-,107.4794641,-
0x385582cee291e0481d052d32755b96192ebdc48c4eab5ff51731387e2fd4d56a,18941983,1704468791,2024/1/5 15:33,0x117d3f6a5448c6dbd265c1fd7915a2b290aafb95,-,0x4a5cf9ecc6fdd4750df92a33ced79d477d9298c8,-,107.4794641,Sell To Uniswap
0x925f9887de918b088c7a06277acf806e7f800b116f660f4053f06195a78d9338,18942232,1704471827,2024/1/5 16:23,0x8451b575f8ae7f29f5ccfdb98a53b374a1454a6f,-,0x49f131a94de7a26ab6eeb5c8699072333770e99a,-,19.97368034,Transfer
0x533f37df70e1dbb4d72ee2d190eb7d9f80d70e42d63efc87bd024acea25c3f8a,18942265,1704472223,2024/1/5 16:30,0x8451b575f8ae7f29f5ccfdb98a53b374a1454a6f,-,0x49f131a94de7a26ab6eeb5c8699072333770e99a,-,420,Transfer
